id,x_coord,y_coord,assigned_compute_node_id,home_compute_node_id
BS_0,35.3513453170599,58.20071922598536,EC_0,ACN_0
BS_1,34.10625814513219,38.60238279769003,DCN_13,DCN_13
BS_10,38.31454150378823,52.460694505556226,DCN_13,ACN_0
BS_11,12.607538100723097,18.023617288804317,DCN_3,ACN_0
BS_12,45.91786946436862,47.83988111913115,ACN_0,ACN_0
BS_13,24.430656000145447,30.74680629175156,DCN_6,ACN_0
BS_14,25.33303951616495,51.17663445845908,DCN_2,DCN_2
BS_15,47.92267561033984,29.730176923637725,EC_0,ACN_0
BS_16,47.22487018332703,30.345273928034327,ACN_0,ACN_0
BS_17,32.28021531174983,66.70210491540648,EC_0,ACN_0
BS_18,34.49967659150612,20.166929586784224,ACN_0,ACN_0
BS_19,25.71903189685849,64.71031874324458,DCN_4,DCN_4
BS_2,51.31827979296201,33.67479660327007,DCN_1,ACN_0
BS_20,0,70.91845754684827,DCN_1,ACN_0
BS_21,39.76786669310184,84.40306421241256,DCN_2,ACN_0
BS_22,17.228236946231227,97.94118848550545,DCN_1,ACN_0
BS_23,14.892076441753503,73.55867130393884,DCN_13,ACN_0
BS_24,31.88585570754742,91.22907592201959,DCN_4,ACN_0
BS_25,30.514678939833455,48.41913464683119,EC_0,ACN_0
BS_26,35.82406603920003,73.9834841527134,DCN_3,DCN_3
BS_27,14.47826268257872,82.07610157619176,DCN_0,ACN_0
BS_28,4.871858414991252,67.73401366038979,DCN_3,ACN_0
BS_29,25.572745493157548,70.5024738036404,EC_0,DCN_5
BS_3,18.516916666178844,61.94114906886436,DCN_9,ACN_0
BS_30,24.183333293376695,77.1957102017625,DCN_16,ACN_0
BS_31,25.82149841982082,71.34968424117626,EC_0,ACN_0
BS_32,35.107930927674126,70.79803566846064,DCN_7,ACN_0
BS_33,5.969220695959198,75.6767720937043,EC_0,ACN_0
BS_34,18.664170475631437,64.98885510114773,DCN_8,ACN_0
BS_35,34.07664295711506,83.33966088380863,DCN_12,DCN_12
BS_36,31.87396104534627,68.11773700245811,EC_0,ACN_0
BS_37,3.4280354145406946,75.66219892689124,DCN_3,ACN_0
BS_38,19.076894335843875,79.60826395075327,EC_0,ACN_0
BS_39,42.46415328174251,87.4346261566774,DCN_17,DCN_17
BS_4,40.64467489643227,54.51975314703117,ACN_0,ACN_0
BS_40,20.59092755113713,88.45550401526856,DCN_8,DCN_8
BS_41,71.62281617658527,73.55251500774331,ACN_1,ACN_1
BS_42,38.95257612076972,59.15261342253164,DCN_2,ACN_0
BS_43,48.05898101971977,76.95597258872098,DCN_2,ACN_0
BS_44,47.38559742853359,48.995979363193754,DCN_10,ACN_0
BS_45,26.671888530883802,57.730194404506705,EC_0,ACN_0
BS_46,23.91641206672932,72.1537239073011,DCN_15,ACN_0
BS_47,92.48187485292164,75.01611197205521,DCN_10,ACN_1
BS_48,44.80932573676101,79.74181477440197,DCN_4,ACN_0
BS_49,64.85089378429872,79.73806708107253,ACN_1,ACN_1
BS_5,24.532818143310827,69.08287902186244,DCN_1,ACN_0
BS_50,43.096724894790604,50.288658029635414,DCN_7,DCN_7
BS_51,47.634902501280585,68.34825220144207,DCN_17,DCN_1
BS_52,40.662110565873874,42.626456118211564,DCN_13,DCN_9
BS_53,59.36273565309682,53.64257095503369,DCN_1,ACN_0
BS_54,36.13718725980879,76.90062807738605,EC_0,ACN_0
BS_55,51.89353117535533,67.50005209733327,DCN_6,ACN_0
BS_56,51.53387433450859,45.4888346717743,DCN_11,DCN_16
BS_57,53.82545498922435,94.02337672988884,DCN_9,ACN_0
BS_58,42.0830975513056,88.4469733370922,DCN_10,ACN_0
BS_59,61.296075332888705,62.535332701008066,ACN_0,ACN_0
BS_6,18.306402100055777,44.01278749817199,ACN_0,ACN_0
BS_60,51.90251751993161,29.0685657000609,DCN_0,ACN_0
BS_61,61.55010277656406,44.32480343172058,ACN_0,ACN_0
BS_62,88.8949675082678,26.881026589064344,ACN_1,ACN_1
BS_63,72.74301207195079,52.73502847608491,ACN_1,ACN_1
BS_64,77.87741031992081,92.64769592435749,ACN_1,ACN_1
BS_65,62.64073009532775,80.31856171470889,DCN_17,ACN_1
BS_66,100,65.4510840217194,ACN_1,ACN_1
BS_67,45.04796421010195,45.11308115935501,EC_0,ACN_0
BS_68,64.36670171994413,73.14541767705197,ACN_1,ACN_1
BS_69,75.17719146724534,54.03378313921458,DCN_14,ACN_1
BS_7,42.13142319497865,66.88941711706491,EC_0,ACN_0
BS_70,100,72.95034861506258,ACN_1,ACN_1
BS_71,62.81719661232375,52.32846738322686,DCN_14,DCN_14
BS_72,63.99039233744298,35.13925666951899,EC_0,ACN_0
BS_73,78.88652805353237,47.408897007736684,ACN_1,ACN_1
BS_74,76.45770649876818,61.79823114453573,DCN_14,ACN_1
BS_75,72.3915511919969,59.10744482005792,DCN_17,ACN_1
BS_76,47.527235225417286,67.36702658780806,DCN_15,ACN_0
BS_77,66.93499871593332,80.87382287952944,ACN_1,ACN_1
BS_78,60.9294625684226,14.780139477760287,DCN_5,ACN_0
BS_79,70.65168190418811,43.33664929082786,ACN_1,ACN_1
BS_8,35.864320458985084,44.72060984546984,DCN_8,ACN_0
BS_80,45.96457077224874,23.860505996962242,DCN_10,ACN_0
BS_81,39.60112029944791,58.248688656109806,ACN_0,ACN_0
BS_82,26.635889715845366,27.597584441343646,DCN_15,DCN_15
BS_83,63.795344568803614,10.165442134494032,ACN_0,ACN_0
BS_84,29.126815359055133,41.754773459828414,EC_0,ACN_0
BS_85,36.144744517655226,26.0737567865945,DCN_2,ACN_0
BS_86,48.3949302260755,45.549460371739855,DCN_6,DCN_6
BS_87,85.93619074623084,38.62768754106344,ACN_1,ACN_1
BS_88,27.83860400052372,25.092725936914313,DCN_12,ACN_0
BS_89,41.67063436367602,28.6169464288953,EC_0,ACN_0
BS_9,72.4908685861053,43.247910225032356,ACN_1,ACN_1
BS_90,64.8281441691408,62.3729653936234,DCN_12,ACN_1
BS_91,31.343053119137814,49.71465682734217,DCN_2,ACN_0
BS_92,30.00763049902805,38.761854796556136,ACN_0,ACN_0
BS_93,33.671269746480064,39.588042687643956,ACN_0,ACN_0
BS_94,50.710899063753885,27.323343436053158,DCN_6,ACN_0
BS_95,44.135372509927265,40.16712058455213,EC_0,ACN_0
BS_96,27.083762428007972,11.733482927640114,DCN_11,DCN_11
BS_97,26.973192294759425,50.340711444522256,DCN_0,DCN_0
BS_98,33.8176010542418,31.395707071074224,EC_0,ACN_0
BS_99,59.98624449471572,23.454558381468356,DCN_10,DCN_10
